FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
옻칠기공예관,강원도 원주시 소초면 구룡사로 142,42,42130,128.056243,37.4265,강원,2021-12-31
장승문화연구소,강원도 춘천시 신북읍 맥국길 569-136,42,42110,127.754671,37.951365,강원,2021-12-31
57디자인,강원도 원주시 북원로 2704 2층 57디자인,42,42130,127.947882,37.384655,강원,2021-12-31
전통표구화랑,강원도 춘천시 후만로126번길 31,42,42110,127.759297,37.876013,강원,2021-12-31
붓이야기박물관,강원도 춘천시 서면 박사로 906 붓이야기박물관,42,42110,127.692623,37.896518,강원,2021-12-31
대부공예,강원도 춘천시 백령로165번길 2,42,42110,127.744724,37.876019,강원,2021-12-31
설악공방,강원도 속초시 중앙로40번길 25,42,42210,128.581997,38.198853,강원,2021-12-31
전통이조목공예,충청북도 단양군 가곡면 남한강로 679,43,43800,128.396418,37.034961,충북,2021-12-31
도실공예,충청북도 보은군 보은읍 누청1길 13,43,43720,127.748469,36.498993,충북,2021-12-31
국림원,충청북도 영동군 심천면 단전용당길 183,43,43740,127.73448,36.22426,충북,2021-12-31
광덕빗자루공예사,충청북도 제천시 내토로43안길 34,43,43150,128.217308,37.128323,충북,2021-12-31
성종사,충청북도 진천군 덕산읍 습지길 35 성종사,43,43750,127.494888,36.897762,충북,2021-12-31
수레길마차공장,충청북도 진천군 문백면 농다리로 34 공장,43,43750,127.442576,36.779186,충북,2021-12-31
전통옹기,충청북도 진천군 진천읍 원덕로 390 진천전통시장 F동 126호,43,43750,127.451207,36.860196,충북,2021-12-31
삼이공예사,충청북도 청주시 상당구 낭성면 단재로 1978,43,43111,127.622654,36.605033,충북,2021-12-31
한국전통공예산업진흥협회,충청북도 청주시 청원구 상당로 314 청주첨단문화산업단지 222호,43,43111,127.490006,36.656079,충북,2021-12-31
한국공예관 터미널점,충청북도 청주시 흥덕구 풍산로 18,43,43113,127.432814,36.625856,충북,2021-12-31
칠보사랑,충청북도 충주시 대소원면 대학로 50 충주대학교,43,43130,127.871923,36.973725,충북,2021-12-31
수연라탄지끈공예방,충청남도 천안시 서북구 쌍용14길 63,44,44133,127.122815,36.796624,충남,2021-12-31
한국전통매듭,충청남도 천안시 서북구 불당11로 19-1 한국전통매듭,44,44133,127.108515,36.804538,충남,2021-12-31
설화짚공예관,충청남도 아산시 설화산길 15,44,44200,127.025242,36.75834,충남,2021-12-31
우리짚풀연구회,충청남도 아산시 온양역길 120 (온천동),44,44200,127.006757,36.779616,충남,2021-12-31
종이그림전통한지교육농장,충청남도 서산시 인지면 화수2길 135-6,44,44210,126.407706,36.767375,충남,2021-12-31
전통수예공방 운경,충청남도 천안시 동남구 오룡길 3-4,44,44131,127.150335,36.805763,충남,2021-12-31
고창전통자수,전라북도 고창군 고수면 연동2길 1,45,45790,126.67534,35.394638,전북,2021-12-31
토닥토닥,전라북도 고창군 고창읍 동리로 70,45,45790,126.700013,35.432708,전북,2021-12-31
남원전통공예,전라북도 남원시 검멀길 15,45,45190,127.377606,35.403516,전북,2021-12-31
남원시 옻칠공예관,전라북도 남원시 요천로 1234-5,45,45190,127.358987,35.395432,전북,2021-12-31
남원최수봉부채공예,전라북도 남원시 요천로 1339-5,45,45190,127.370108,35.397879,전북,2021-12-31
전통옻칠목기공예방,전라북도 남원시 요천로 1375,45,45190,127.373348,35.398915,전북,2021-12-31
옻마루,전라북도 남원시 충정로 45,45,45190,127.380897,35.412303,전북,2021-12-31
부안전통옹기,전라북도 부안군 보안면 농공단지길 33-5 (주)한국영진레아메탈,45,45800,126.67293,35.603013,전북,2021-12-31
영진공예,전라북도 전주시 완산구 대성동,45,45110,127.173498,35.792736,전북,2021-12-31
동성공예,전라북도 전주시 완산구 송정3길 19-7,45,45110,127.118574,35.800556,전북,2021-12-31
소소한가죽공예오늘,전라북도 전주시 완산구 은행로 21-1,45,45110,127.152176,35.818121,전북,2021-12-31
미선공예사,전라북도 전주시 완산구 은행로 67,45,45110,127.152883,35.814043,전북,2021-12-31
다인공예,전라북도 전주시 완산구 태조로 14,45,45110,127.153205,35.814956,전북,2021-12-31
전주전통한지원,전라북도 전주시 완산구 풍남동3가 53-26,45,45110,127.153527,35.815895,전북,2021-12-31
공작부인이공작한공작,전라북도 전주시 완산구 현무1길 20 한국전통문화전당,45,45110,127.14861,35.821458,전북,2021-12-31
